identifier,title,description,prof,credits,sws,cycle,exam_type,condition
ITS,IT – und Netzwerksicherheit,Bedrohungs-und Angriffsszenarien; organisatorische und rechtliche Aspekte; technische Aspekte wie Firewalls; IDS; Sicherheitsprotokolle; Hash-Funktionen; Zertifikate; Privacy-Protection.,Aschenbruck,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),BR
KRYP,Kryptographische Verfahren,Grundlagen kryptographischer Systeme und ihre Anwendungen:Symmetrische und asymmetrische kryptographische Verfahren; Hashfunktionen und digitale Signaturen; Public-Key-Kryptosysteme; Authentifizierung; kryptographische Protokolle; elektronische Wahlen; elektronische Zahlungssysteme; Sicherheitin Netzwerken; sichere drahtlose Kommunikation,Knust,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
LOP,Lineare Optimierung und Netzflussprobleme,lineare Programmierung; Simplexverfahren; Dualität; Spieltheorie; ganzzahlige lineare Programmierung; Software zum Lösen linearer Programme; Netzflussprobleme und Lösungsalgorithmen,Knust,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
MOKO,Mobilkommunikation,Mobilität vs. Portabilität; Leistungsbewertung in drahtlosen Netzen; Grundlagen der drahtlosen Kommunikation; Zelluläre/Mobile Kommunikationsnetze; Ad-hoc und Sensornetze.,Aschenbruck,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
NAVI,Navigation in multimedialen Dokumenten,Navigationsansätze für Multimedia; Navigationsansätze für Hypermedia;Soziale Navigation; User Interfaces; Multimedia Indexing; Adobe Flex; SVG; Programmierung von Multimedia GUIs; Webbasierte Multimediaanwendungen; Web 2.0 und Multimedia,Mertens,3,2,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min) oder Bearbeitung und Präsentation von Übungsaufgaben oder Kleinprojekten,Bachelor
OptAlg,Optimierungsalgorithmen und Anwendungen,Allgemeine Lösungsmethoden für kombinatorische Optimierungsprobleme: Lineare Programmierung; Branch-and-Bound-Algorithmen; Constraint Programming; Lokale Suche; Genetische Algorithmen;Ameisenalgorithmen; ...Anwendungenaus den Bereichen Scheduling und Transport,Knust,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min) oder Ausarbeitung und Präsentation (Referat),Bachelor
Csh,Programmieren in C#,Syntax/Semantik von C#; Syntax/Semantik von LINQ; Verwendung von Programmbibliotheken; Verwendung der MS Office Primary Interop Assemblies; C#-Programmieren mit MS Visual Studio,Mertens,3,2,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min) oder Bearbeitung und  Präsentation von Übungsaufgaben,INFA; INFB
PSK,Programmiersprachenkonzepte,Geschichte der Programmiersprachen; Grundlagen von Sprachen: Syntax; Semantik; Programmierumgebungen; Paradigmen (z.B. imperativ; funktional; logisch); spezielle Sprachkonzepte; exemplarisches Kennenlernen vonjeweils mindestens einer Sprache pro Paradigma bzw. Konzept mit praktischer Anwendung,Göers,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFB
RAK,Rechnerachitekturkonzepte,Aufbau und Abstraktionsebenen von Rechensystemen; Aufbau klassischer Rechnerarchitekturen; Performanzbewertung; Geschwindigkeitssteigerung durch Pipelining; Speicherhierarchie; Parallelverarbeitung auf Daten-und Thread-Ebene; Exemplarische Vertiefung anhand einer aktuellen Prozessorarchitektur,Brockmann,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
RNL,Rechnernetze und deren Leistungsbewertung,Simulationen zur Leistungsbewertung von Protokollen; Lastmodellierung und Lastkontrolle; Verständnis und Analyse ausgewählter Protokolle,Aschenbruck,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
ROB,Robotik,Einführung in die Steuerung autonomer mobiler Roboter:Sensorik und Aktuatorik; Lokalisierung Kartierung; Navigation; Umgebungswahrnehmung; Roboterkontrollarchitekturen; Anwendung der entsprechenden Algorithmen und Methoden in Simulation und auf realen Robotern,Hertzberg,9,6,Jedes zweite Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
Sched,Scheduling,Einmaschinenprobleme; Probleme mit parallelen Maschinen; Shop-Probleme; Komplexität; Anwendungen; Allgemeine Techniken: Branch-and-Bound-Algorithmen; dynamische Programmierung; constraint propagation; Heuristiken,Knust,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
SWE,Software Engineering,Motivation und Entstehung des Software Engineering; Vorgehensmodelle; Techniken und Modellierungssprachen für die Analyse; den Entwurf und die Implementierung; grundlegende Qualitätssicherung; Projektmanagement; Softwareergonomie; Konfigurationsmanagement,Pulvermüller,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA
SQ,Software – Qualität,Grundlagen: Begriffe; Qualitätsmerkmale; Klassifikation; Dynamische Prüftechniken: funktionsorientiert; strukturorientiert; diversifizierend; Statische Prüftechniken: analysierend; verifizierend; Werkzeuge,Pulvermüller,9,6,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
WebTech,Web - Technologien,http; HTML; CSS;Javascript; framework-basierte Entwicklung interaktiver Anwendungen mit und ohne Datenbank-Anbindung; AJAX; RSS; Webservices ,Thelen,6,4,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFB
WIS,Wissensbasierte Systeme,Methoden; Algorithmen und Werkzeuge für den Bau wissensbasierter Softwaresysteme: zum Beispiel Beschreibungslogiken; Verarbeitung von vagem Wissen; Wissenserwerb; Aktualisierung und Revision von Wissensbasen; Domänenbeschreibungssprachen; Planungssysteme; eingebettete wissensbasierte Systeme,Hertzberg,9,6,Jedes zweite Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),Bachelor
XMLT,XML - Technologien,Validierung von XML-Dateien (DTD; XML Schema); Navigation in XML-Bäumen; Programmierkonzepte von XSLT 1.0 und 2.0; Konvertierung von XML in verschiedene Formate; Sortieren und Gruppieren mit XSLT 1.0 und 2.0; Datenextraktion aus XML-Dokumenten,Gieseking,6,3,Nicht regelmäßig,Klausur ( 120 min) oder mündliche Prüfung (30 min),INFA; INFB
DIDP,Praktikum zur Didaktik der Informatik ,In kleinen Teams erarbeiten die Studierenden Themen der Informatik für Schüler (z.B. mittels Lego-Mindstorms) und führen dazu Workshops an Schulen durch.,Heidemann,6,4,Jedes Sommersemester,Ausarbeitung und Dokumentation,Bed
BAS,Abschlussseminar Bachelor,Präsentation im Themengebiet der Bachelorarbeiten,wechselnd,3,2,Jedes Semester,Vortrag,Anfertigung Bachelorarbeit
Irecht,Internet - Recht,Domainrecht (Marken-; Namens-und Wettbewerbsrecht); Contentlaw (Urheberrecht; Leistungsschutzrechte; Urhebervertragsrecht); E-Commerce Law (Fernabsatz und Wettbewerbsrecht); Arbeitsrecht im Internet; Datenbanknutzung im wissenschaftlichen Umfeld; Werbrecht im Internet (Suchmaschinen; Mailings),Heyers,2,1,Nicht regelmäßig,Klausur oder mündliche Prüfung,
RCBL,Reading Club „Berufsleben“,Rollen im Berufsleben; Berufsknigge ,Brockmann,2,2,Nicht regelmäßig,Das Modul ist unbenotet,
WIWE,Wissenschaftliche Werkstatt,Wissenschaftliches Schreiben; Wissenschaftliches Präsentieren; Unterstützende Techniken und Werkzeuge,Pulvermüller,2,2,Nicht regelmäßig,Das Modul ist unbenotet,
MATH-301,Mathematik für Anwender I,Grundlegende Themen aus der Analysis und linearen Algebra stehen im Vordergrund. Gegenstände der Vorlesung sind insbesondere: Reelle und komplexe Zahlen; lineare Gleichungssysteme; Matrizen und lineare Abbildungen; Vektorräume; Determinanten; Eigenwerte und Eigenvektoren; Grenzwerte; stetige Funktionen; elementare Funktionen; Differenzierbarkeit und Ableitung; Integrale; Reihenentwicklung und weitere Themen aus der Analysis und linearen Algebra,Reitzner,9,6,Jedes Semester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
MATH-302,Mathematik für Anwender II,Aufbauend auf dem Modul MATH-301 stehen grundlegende Themen aus der Analysis im Vordergrund. Gegenstände der Vorlesung sind insbesondere: Differential- und Integralrechnung mehrerer Veränderlicher; Differentialgleichungen und weitere Themen der Analysis sowie Ergänzungen der linearen Algebra.,Reitzner,9,6,Jedes Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),MATH-301
MATH-103,Grundlagen Analysis,Vermittelt Grundlagen der Analysis,Römer,18,6,Jedes Semester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
MATH-121,Proseminar Mathematik,Das Proseminar behandelt Themen aus mathematischen Gebieten; die auf den Vorlesungen zur Algebra und Analysis der ersten Semester aufbauen. Inhaltlich werden keine Anforderungen aus weiterführenden Veranstaltungen gefordert. Angeboten werden zum Beispiel: Proseminar Analysis; Proseminar Lineare Algebra; Proseminar Stochastik oder weitere Proseminare für Bachelorstudierende mit Schwerpunkt Mathematik. Das gewählte Proseminar darf nicht bereits im Rahmen eines anderen Moduls verwendet worden sein,Reitzner,3,2,Nicht regelmäßig,Referat (ca. 90 min); schriftliche Ausarbeitung des Referates; unbenotet,
MATH-122,Seminar Mathematik (Bachelor),Das Seminar behandelt Themen aus mathematischen Gebieten; die auf Vorkenntnissen aus weiterführenden Veranstaltungen aufbauen können. Es werden Seminare zu den Vorlesungen der Mathematik angeboten.Das gewählte Seminar darf nicht bereits im Rahmen eines anderen Moduls verwendet worden sein.,Diening ,3,2,Nicht regelmäßig,Referat (ca. 90 min); schriftliche Ausarbeitung des Referates; Das Seminar ist unbenotet.,MATH-101; MATH-103
ASW-101,Einführung in die Systemwissenschaft(BSc),Es werden folgende Themen einführend behandelt: Systeme in verschiedenen Disziplinen; Geschichtliches; Grundbegriffe der Systemwissenschaft; Modellbildung: Wortmodell; Rückkopplungen; Wirkungsgraph; Zustandsraum; Zustandsgrößen; Flüsse; Parameter; Wachstumsgleichungen; Simulations- und Flussdiagramm; Programmieren mit Simulationssoftware; Simulation; Verhaltensanalyse; Phasendiagramm; Modellanalyse und -bewertung; Stabilität; Unsicherheit; Sensitivität; Zelluläre Automaten; Diskrete Modelle; Modellvergleich und -beurteilung,Hilker,6,4,Jedes Wintersemester,Klausur (90-120 min) oder mündliche Prüfung(i. d. R. 30 min),
ASW-201,Daten und Modelle (Bsc),Behandelt werden Modelle des Wasser- und Nährstoffhaushalts; Schadstoffausbreitung; Multimedia-Modellierung; Möglichkeiten der Datenerfassung; Methoden zur Auswertung von Daten und Versuchsreihen; verschiedene Arten von Unsicherheiten bei der Modellerstellung und -anwendung; Modellvalidierung mittels Daten; kritischer Umgang mit Modellen und Modellergebnissen,Hilker,6,4,Jedes Sommersemester,Klausur (90-120 min) oder mündliche Prüfung(i. d. R. 30 min),ASW-101
ASW-301,Regelbasierte Modelle (Bsc),Eigenschaften von komplex adaptiven Systemen; Modellierungstechniken für regelbasierte Systeme; Zelluläre Automaten; Agentenbasierte Modelle; Grundlegende Modellierungstechniken wie Bewegung im Raum; Kommunikation und Lernen,Scholz,6,4,Jedes Wintersemester,Klausur (90-120 min) oder mündliche Prüfung(i. d. R. 30 min),ASW-101
ASW-302,Proseminar Systemwissenschaft (Bsc),Das Proseminar behandelt ergänzend zu den Pflichtvorlesungen spezielle elementare Themen; die auf die Pflichtmodule aufbauen.,Malchow,3,2,Jedes Wintersemester,Hausarbeit und Referat (45 min),
ASW-401,Gleichungsbasierte Modelle I (BSc),Gewöhnliche Differentialgleichungen: Analyse des Verhaltens von Modellen ein- und mehrdimensionaler linea­rer und nichtlinearer Systeme (stationäre Lösungen; Stabilität); Diskrete und kontinuierliche Modelle (iterierte Abbildungen; gekoppelte Abbildungsgitter; Anwendungen auf einfache chemische; biologische; ökologische und ökonomische Systeme; Modellprogrammierung; Simulation; Rechnerübungen.,Malchow,9,6,Jedes Sommersemester,Klausur (90-120 min) oder mündliche Prüfung (i. d. R. 30 min),ASW-101;  ASW-201
ASW-501,Partizipative Modellierung (Bsc),Rolle von Modellen in Lern- und Entscheidungsprozessen in komplexen Systemen mit Beispielen aus Business und Umweltmanagement; Rolle von partizipativen Prozessen im Management von natürlichen Ressourcen; Einführung in Techniken der Partizipativen Modellbildung (Theorien; Beispiele; Techniken - System Dynamics; Agent Based Modelling; Mental Models; Fuzzy Cognitive Maps; Baysian Networks etc); Einführung in Techniken der Wissenserhebung mit praktischen Beispielen; Entwicklung eines qualitativen Modells im Rahmen eines eigenen Projekts,Pahl-Wostl,6,4,Jedes zweite Wintersemester,Referat und Hausarbeit,ASW-101
ASW-502,Geographische Informationssysteme (BSc),Schwerpunkt der Veranstaltung sind spezifische Datenstrukturen und Methoden von GIS; wie sie für Umweltfragestellungen; v.a. im Bereich der hydrologischen Modellierung; benötigt werden. Aufbauend auf Grundfunktionalitäten bei der Bearbeitung von Raster- und Vektordaten werden Triangular Irregular Networks (TINs) und Netzwerk-Datenmodelle vorgestellt. An Methoden werden Verfahren zur Netzwerkanalyse; Interpolationsverfahren sowie Verfahren zur hydrologischen Analyse von digitalen Geländemodellen vermittelt.  In den Übungen  wird an ausgewählten Beispielen die Umsetzung der Konzepte und Methoden mit GIS-Software erarbeitet.,Berlekamp ,6,4,Jedes Sommersemester,Ausarbeitung der Übungsaufgaben sowie Klausur (90-120 min) oder mündliche Prüfung (i. d. R. 30 min),
ASW-503,Gleichungsbasierte Modelle II,Modellierung raumzeitlicher Prozesse mit partiellen Differen­tialgleichungen; Raumzeitliche Strukturbildung in natürlichen Systemen; Deterministische und stochastische Standardmodelle (Schlögl; Brüsselator; Oregonator; etc.); Wachstum; Wechselwirkungen und Bewegung - Strukturen in Reaktions-Diffusions-Advektionssystemen,Malchow,6,4,Jedes Wintersemester,Referat (30 min),ASW-401
ASW-506,Umweltsystemanalyse (Bsc),Modellierung des Umweltverhaltens von Schadstoffen mit besonderem Schwerpunkt auf prozessbasierten; mathematischen Modellierungsansätzen. Behandelt werden die theoretischen Grundlagen der wichtigsten Transport; Austausch- und Verlagerungsprozesse sowie von abiotischen und biotischen Abbauprozessen. Erläutert werden Modelle zur Schadstoffausbreitung sowie verschiedene Multimedia-Modelle. Zusätzlich wird auf die Auswirkung von Unsicherheiten und Variabilitäten von Modellparametern auf das Modellergebnis eingegangen.,Klasmeier,6,4,Jedes Wintersemester,Vorlesung: Klausur (120 min) oder mündliche Prüfung (30 min); Übung     : bis zu zwei Tests (30-45 min),ASW-101; ASW-201; ASW-401
WIWI-B-01016-MA,Grundlagen der Organisation,Grundlagen der Organisation; insbesondere Grundbegriffe und Gestaltungsparameter der Organisation; Organisationstheorien; Aufbau-und Ablauforganisation.,Hoppe,5,3,Jedes Sommersemester,Klausur (60-90 Minuten),
WIWI-B-01003-MA,Kaufmännische Buchführung,(ehemals Management B I: Kaufmännische Buchführung); Grundlagen der kaufmännischen doppelten Buchführung und Bilanzierung.,Wosnitza,5,3,Jedes Wintersemester,Klausur (60-90 Minuten),
WIWI-B-01008-AC,Jahresabschluss,(ehemals Accounting B Ia); Zwecke des Jahresabschlusses; Grundlegende Ansatz - ; Bewertungs-und Ausweisvorschriften,Scholze,5,4,Jedes Sommersemester,Klausur (60-90 Minuten),
WIWI-B-01007-AC,Kosten- und Leistungsrechnung,(ehemals Accounting B Ib); ,Ossadnik,5,3,Jedes Sommersemester,Klausur (60-90 Minuten),
WIWI-B-01004-MA,Entscheidungstheorie,Grundlagen der normativen und deskriptiven Entscheidungstheorie; Darstellung von  Entscheidungsproblemen; Entscheidungen bei  Unsicherheit.,Gillenkirch,5,4,Jedes Wintersemester,Klausur (60-90 Minuten),
WIWI-B-01015-MA,Grundlagen des Marketing,Grundlagen des Marketing; insbesondere Käuferverhalten sowie Produkt- ;Preis- ; Kommunikations- und Distributionspolitik.,Baumgartner,5,4,Jedes Sommersemester,Klausur (60-90 Minuten),
KOGW-PM-CL,Introduction to Computational Linguistics,This is an introductory class that provides basic knowledge of the linguistic subdisciplines phonology; morphology; syntax; semantics; and pragmatics as well as basic knowledge in core areas of computational linguistics; such as the theory of formal languages; complexity; context free grammars; parsing; semantic analysis; hidden Markov models; POS tagging; and machine translation. ,Bosch,8,4,Jedes Sommersemester,1. Komponente: 2 Klausuren(je 60–90 min.)2. Komponente: Regelmäßig Hausaufgaben,
KOGW-PM-NW,Neurowissenschaft / Introduction to Neurobiology,"Einführung in die Neurobiologie für Studenten der ""Cognitive Science"". ",Jeserich,4,2,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
KOGW-PM-NW,Neurowissenschaft / Sensory Physiology,Einführung in die Sinnesphysiologie für Studenten der Cognitive Science,Jeserich,4,2,Jedes Sommersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
KOGW-PM-NW,Neurowissenschaft / Functional Neuroanatomy,"Einführung in die funktionelle Neuroanatomie für Studenten der ""Cognitive Science"". ",Brandt,4,2,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
KOGW-PM-PHIL,Philosophie des Geistes und der Kognition / Introduction to the philosophy of mind,Psychophysisches Problem; Intentionalität; Willensfreiheit; Mentale Verursachung; Qualia-Probleme.,Walter,10,4,Jedes Sommersemester,1 Klausur (90 min.) ,
KOGW-PM-KNP,Kognitive (Neuro-)Psychologie / Cognitive Psychology and Neuro-psychology,In this lecture you will be introduced to neuroscientific research methods (fMRI and EEG) and to the following cognitive processes: visual perception; visual selective attention; memory; language; hemispheric specilisations; motor and action; emotion; mental imagery; cognitive control and social cognition. For all topics you will get to know psychological theories about these cognitive processes and neuropsychological evidence from experimental and patient studies. Course credits are obtained by passing the midterm and the final exam. ,Martens,8,4,Jedes Sommersemester,2 Klausuren(je 60–90 min.),
